Pitch,Velocity,Position,Length
75,100,0,240
48,100,0,480
79,100,240,240
84,100,480,240
44,100,480,480
86,100,720,240
87,100,960,480
41,100,960,480
86,100,1440,480
43,100,1440,480
84,100,1920,240
44,100,1920,960
77,100,2160,240
76,100,2400,720
43,100,2880,960
79,100,3120,240
80,100,3360,240
82,100,3600,240
80,100,3840,240
41,100,3840,960
73,100,4080,240
72,100,4320,720
39,100,4800,960
75,100,5040,240
77,100,5280,240
79,100,5520,240
77,100,5760,240
38,100,5760,960
72,100,6000,240
71,100,6240,720
43,100,6720,960
68,100,6960,240
67,100,7200,240
65,100,7440,240
63,100,7680,240
36,100,7680,960
65,100,7920,240
63,100,8160,240
62,100,8400,240
63,100,8640,240
68,100,8880,240
67,100,9120,240
38,100,9120,480
66,100,9360,240
67,100,9600,240
39,100,9600,960
68,100,9840,240
67,100,10080,240
66,100,10320,240
67,100,10560,240
73,100,10800,240
72,100,11040,240
41,100,11040,480
71,100,11280,240
72,100,11520,480
39,100,11520,480
67,100,12000,480
36,100,12000,480
77,100,12480,240
43,100,12480,480
75,100,12720,240
74,100,12960,240
43,100,12960,480
72,100,13200,240
72,100,13440,240
54,100,13440,960
45,100,13440,960
74,100,13680,240
75,100,13920,240
72,100,14160,240
75,100,14400,240
74,100,14640,240
72,100,14880,240
70,100,15120,240
