Pitch,Position,Velocity,Length
48.0,0.0,100,832.08
72.0,480.0,100,240.0
74.0,720.0,100,240.0
75.0,960.0,100,480.0
79.0,1440.0,100,480.0
83.0,1920.0,100,480.0
84.0,2400.0,100,480.0
46.0,2880.0,100,960.0
84.0,3360.0,100,480.0
44.0,3840.0,100,960.0
72.0,4320.0,100,240.0
74.0,4560.0,100,240.0
75.0,4800.0,100,480.0
79.0,5280.0,100,480.0
83.0,5760.0,100,480.0
84.0,6240.0,100,480.0
43.0,6720.0,100,960.0
84.0,7200.0,100,480.0
41.0,7680.0,100,960.0
72.0,8160.0,100,240.0
74.0,8400.0,100,240.0
75.0,8640.0,100,480.0
79.0,9120.0,100,480.0
83.0,9600.0,100,480.0
84.0,10080.0,100,480.0
39.0,10560.0,100,960.0
84.0,11040.0,100,480.0
39.0,11520.0,100,960.0
67.0,12000.0,100,240.0
69.0,12240.0,100,240.0
70.0,12480.0,100,480.0
74.0,12960.0,100,480.0
78.0,13440.0,100,480.0
79.0,13920.0,100,480.0
38.0,14400.0,100,960.0
79.0,14880.0,100,480.0
43.0,15360.0,100,960.0
67.0,15840.0,100,240.0
69.0,16080.0,100,240.0
70.0,16320.0,100,480.0
74.0,16800.0,100,480.0
78.0,17280.0,100,480.0
79.0,17760.0,100,480.0
41.0,18240.0,100,960.0
79.0,18720.0,100,480.0
36.0,19200.0,100,960.0
67.0,19680.0,100,240.0
69.0,19920.0,100,240.0
70.0,20160.0,100,480.0
74.0,20640.0,100,480.0
78.0,21120.0,100,480.0
79.0,21600.0,100,480.0
34.0,22080.0,100,960.0
79.0,22560.0,100,480.0
74.0,23040.0,100,240.0
54.0,23040.0,100,480.0
76.0,23280.0,100,240.0
78.0,23520.0,100,240.0
57.0,23520.0,100,480.0
79.0,23760.0,100,240.0
81.0,24000.0,100,480.0
54.0,24000.0,100,480.0
72.0,24480.0,100,480.0
50.0,24480.0,100,480.0
70.0,24960.0,100,480.0
55.0,24960.0,100,480.0
79.0,25440.0,100,480.0
51.0,25440.0,100,480.0
69.0,25920.0,100,480.0
48.0,25920.0,100,480.0
78.0,26400.0,100,480.0
50.0,26400.0,100,480.0
77.0,26880.0,100,480.0
41.0,26880.0,100,960.0
80.0,27360.0,100,240.0
77.0,27600.0,100,240.0
72.0,27840.0,100,480.0
73.0,28320.0,100,480.0
53.0,28320.0,100,240.0
52.0,28560.0,100,240.0
53.0,28800.0,100,960.0
79.0,29280.0,100,240.0
80.0,29520.0,100,240.0
84.0,29760.0,100,480.0
85.0,30240.0,100,480.0
41.0,30240.0,100,480.0
39.0,30720.0,100,960.0
79.0,31200.0,100,240.0
75.0,31440.0,100,240.0
71.0,31680.0,100,480.0
72.0,32160.0,100,480.0
51.0,32160.0,100,240.0
50.0,32400.0,100,240.0
51.0,32640.0,100,960.0
78.0,33120.0,100,240.0
79.0,33360.0,100,240.0
83.0,33600.0,100,480.0
84.0,34080.0,100,480.0
39.0,34080.0,100,480.0
41.0,34560.0,100,960.0
82.0,34800.0,100,240.0
80.0,35040.0,100,240.0
79.0,35280.0,100,240.0
77.0,35520.0,100,240.0
75.0,35760.0,100,240.0
74.0,36000.0,100,240.0
72.0,36240.0,100,240.0
71.0,36480.0,100,240.0
43.0,36480.0,100,960.0
72.0,36720.0,100,240.0
74.0,36960.0,100,240.0
68.0,37200.0,100,240.0
67.0,37440.0,100,480.0
77.0,37920.0,100,480.0
36.0,38400.0,100,960.0
77.0,38640.0,100,240.0
75.0,38880.0,100,240.0
74.0,39120.0,100,240.0
72.0,39360.0,100,240.0
70.0,39600.0,100,240.0
69.0,39840.0,100,240.0
67.0,40080.0,100,240.0
66.0,40320.0,100,240.0
38.0,40320.0,100,960.0
67.0,40560.0,100,240.0
69.0,40800.0,100,240.0
63.0,41040.0,100,240.0
62.0,41280.0,100,480.0
72.0,41760.0,100,480.0
38.0,42240.0,100,960.0
82.0,42480.0,100,240.0
80.0,42720.0,100,240.0
79.0,42960.0,100,240.0
77.0,43200.0,100,240.0
75.0,43440.0,100,240.0
74.0,43680.0,100,240.0
72.0,43920.0,100,240.0
71.0,44160.0,100,240.0
43.0,44160.0,100,960.0
72.0,44400.0,100,240.0
74.0,44640.0,100,240.0
68.0,44880.0,100,240.0
67.0,45120.0,100,240.0
77.0,45360.0,100,240.0
75.0,45600.0,100,240.0
74.0,45840.0,100,240.0
67.0,46080.0,100,240.0
39.0,46080.0,100,960.0
76.0,46320.0,100,240.0
75.0,46560.0,100,240.0
73.0,46800.0,100,240.0
82.0,47040.0,100,240.0
39.0,47040.0,100,960.0
76.0,47280.0,100,240.0
75.0,47520.0,100,240.0
73.0,47760.0,100,240.0
67.0,48000.0,100,240.0
39.0,48000.0,100,960.0
76.0,48240.0,100,240.0
75.0,48480.0,100,240.0
73.0,48720.0,100,240.0
82.0,48960.0,100,240.0
76.0,49200.0,100,240.0
75.0,49440.0,100,240.0
73.0,49680.0,100,240.0
69.0,49920.0,100,240.0
41.0,49920.0,100,960.0
78.0,50160.0,100,240.0
77.0,50400.0,100,240.0
75.0,50640.0,100,240.0
84.0,50880.0,100,240.0
41.0,50880.0,100,960.0
78.0,51120.0,100,240.0
77.0,51360.0,100,240.0
75.0,51600.0,100,240.0
69.0,51840.0,100,240.0
41.0,51840.0,100,960.0
78.0,52080.0,100,240.0
77.0,52320.0,100,240.0
75.0,52560.0,100,240.0
84.0,52800.0,100,240.0
78.0,53040.0,100,240.0
77.0,53280.0,100,240.0
75.0,53520.0,100,240.0
71.0,53760.0,100,240.0
43.0,53760.0,100,960.0
80.0,54000.0,100,240.0
79.0,54240.0,100,240.0
77.0,54480.0,100,240.0
86.0,54720.0,100,240.0
43.0,54720.0,100,960.0
80.0,54960.0,100,240.0
79.0,55200.0,100,240.0
77.0,55440.0,100,240.0
71.0,55680.0,100,240.0
43.0,55680.0,100,960.0
80.0,55920.0,100,240.0
79.0,56160.0,100,240.0
77.0,56400.0,100,240.0
86.0,56640.0,100,240.0
80.0,56880.0,100,240.0
79.0,57120.0,100,240.0
77.0,57360.0,100,240.0
76.0,57600.0,100,240.0
36.0,57600.0,100,960.0
73.0,57840.0,100,240.0
72.0,58080.0,100,240.0
70.0,58320.0,100,240.0
79.0,58560.0,100,240.0
36.0,58560.0,100,960.0
73.0,58800.0,100,240.0
72.0,59040.0,100,240.0
70.0,59280.0,100,240.0
64.0,59520.0,100,240.0
36.0,59520.0,100,960.0
73.0,59760.0,100,240.0
72.0,60000.0,100,240.0
70.0,60240.0,100,240.0
79.0,60480.0,100,240.0
73.0,60720.0,100,240.0
72.0,60960.0,100,240.0
70.0,61200.0,100,240.0
74.0,61440.0,100,240.0
34.0,61440.0,100,960.0
71.0,61680.0,100,240.0
70.0,61920.0,100,240.0
68.0,62160.0,100,240.0
77.0,62400.0,100,240.0
34.0,62400.0,100,960.0
71.0,62640.0,100,240.0
70.0,62880.0,100,240.0
68.0,63120.0,100,240.0
62.0,63360.0,100,240.0
34.0,63360.0,100,960.0
71.0,63600.0,100,240.0
70.0,63840.0,100,240.0
68.0,64080.0,100,240.0
77.0,64320.0,100,240.0
71.0,64560.0,100,240.0
70.0,64800.0,100,240.0
68.0,65040.0,100,240.0
68.0,65280.0,100,240.0
41.0,65280.0,100,960.0
72.0,65520.0,100,240.0
70.0,65760.0,100,240.0
68.0,66000.0,100,240.0
77.0,66240.0,100,240.0
44.0,66240.0,100,960.0
68.0,66480.0,100,240.0
67.0,66720.0,100,240.0
65.0,66960.0,100,240.0
66.0,67200.0,100,240.0
46.0,67200.0,100,960.0
68.0,67440.0,100,240.0
66.0,67680.0,100,240.0
65.0,67920.0,100,240.0
66.0,68160.0,100,240.0
71.0,68400.0,100,240.0
70.0,68640.0,100,240.0
48.0,68640.0,100,480.0
69.0,68880.0,100,240.0
68.0,69120.0,100,240.0
36.0,69120.0,100,960.0
72.0,69360.0,100,240.0
70.0,69600.0,100,240.0
68.0,69840.0,100,240.0
77.0,70080.0,100,240.0
48.0,70080.0,100,960.0
68.0,70320.0,100,240.0
67.0,70560.0,100,240.0
65.0,70800.0,100,240.0
64.0,71040.0,100,240.0
43.0,71040.0,100,960.0
73.0,71280.0,100,240.0
72.0,71520.0,100,240.0
70.0,71760.0,100,240.0
79.0,72000.0,100,240.0
52.0,72000.0,100,960.0
70.0,72240.0,100,240.0
68.0,72480.0,100,240.0
67.0,72720.0,100,240.0
76.0,72960.0,100,240.0
36.0,72960.0,100,960.0
74.0,73200.0,100,240.0
72.0,73440.0,100,480.0
48.0,73920.0,100,960.0
67.0,74160.0,100,240.0
68.0,74400.0,100,240.0
70.0,74640.0,100,240.0
64.0,74880.0,100,240.0
43.0,74880.0,100,960.0
73.0,75120.0,100,240.0
72.0,75360.0,100,240.0
70.0,75600.0,100,240.0
79.0,75840.0,100,240.0
52.0,75840.0,100,960.0
70.0,76080.0,100,240.0
68.0,76320.0,100,240.0
67.0,76560.0,100,240.0
70.0,76800.0,100,240.0
43.0,76800.0,100,960.0
69.0,77040.0,100,240.0
67.0,77280.0,100,480.0
46.0,77760.0,100,960.0
66.0,78000.0,100,240.0
67.0,78240.0,100,240.0
69.0,78480.0,100,240.0
70.0,78720.0,100,240.0
51.0,78720.0,100,960.0
74.0,78960.0,100,240.0
72.0,79200.0,100,240.0
70.0,79440.0,100,240.0
75.0,79680.0,100,240.0
43.0,79680.0,100,960.0
74.0,79920.0,100,240.0
72.0,80160.0,100,240.0
70.0,80400.0,100,240.0
75.0,80640.0,100,240.0
48.0,80640.0,100,960.0
74.0,80880.0,100,240.0
72.0,81120.0,100,480.0
51.0,81600.0,100,960.0
71.0,81840.0,100,240.0
72.0,82080.0,100,240.0
74.0,82320.0,100,240.0
75.0,82560.0,100,240.0
56.0,82560.0,100,960.0
79.0,82800.0,100,240.0
77.0,83040.0,100,240.0
75.0,83280.0,100,240.0
80.0,83520.0,100,240.0
48.0,83520.0,100,960.0
79.0,83760.0,100,240.0
77.0,84000.0,100,240.0
75.0,84240.0,100,240.0
