Pitch,Velocity,Position,Length
36,109,0.0,125
42,109,0.0,757
36,85,485.0,107
42,109,960.0,757
36,99,964.0,119
36,93,1460.0,119
42,99,1920.0,924
36,91,1956.0,118
36,92,2431.0,94
36,84,2853.0,106
42,99,2880.0,924
36,84,3348.0,201
42,113,3840.0,960
36,115,3864.0,115
36,93,4163.0,132
36,112,4479.0,110
42,113,4800.0,960
36,97,4806.0,127
36,101,5122.0,98
36,103,5462.0,131
42,107,5760.0,851
36,109,5798.0,90
36,107,6113.0,103
36,108,6441.0,77
42,107,6720.0,851
36,105,6732.0,114
36,114,7039.0,78
36,118,7354.0,123
36,119,7680.0,49
42,105,7680.0,960
36,121,7765.0,107
36,117,7900.0,119
36,75,8126.0,41
36,79,8216.0,65
36,91,8490.0,74
42,105,8640.0,960
36,82,8666.0,74
36,99,8781.0,61
36,95,8957.0,62
36,106,9060.0,61
36,88,9244.0,66
36,101,9346.0,54
36,96,9518.0,107
42,103,9600.0,960
36,80,9809.0,86
36,88,10063.0,98
36,99,10321.0,103
42,103,10560.0,960
36,60,10592.0,110
36,84,10833.0,434
36,120,11448.0,110
42,109,11520.0,793
36,98,13440.0,654
42,109,13458.0,793
38,98,14400.0,654
