Pitch,Velocity,Position,Length
36,109,0.0,125
42,109,0.0,757
36,85,480.0,107
36,99,960.0,119
42,109,960.0,757
36,93,1440.0,119
36,91,1920.0,118
42,99,1920.0,924
36,92,2400.0,94
36,84,2880.0,106
42,99,2880.0,924
36,84,3360.0,201
42,113,3840.0,960
36,115,3840.0,115
36,93,4080.0,132
36,112,4560.0,110
36,97,4800.0,127
42,113,4800.0,960
36,101,5040.0,98
36,103,5520.0,131
42,107,5760.0,851
36,109,5760.0,90
36,107,6000.0,103
36,108,6480.0,77
36,105,6720.0,114
42,107,6720.0,851
36,114,6960.0,78
36,118,7440.0,123
42,105,7680.0,960
36,121,7680.0,107
36,117,7920.0,119
36,79,8160.0,65
36,91,8400.0,74
36,82,8640.0,74
42,105,8640.0,960
36,95,8880.0,62
36,106,9120.0,61
36,88,9360.0,66
36,96,9600.0,107
42,103,9600.0,960
36,80,9840.0,86
36,88,10080.0,98
36,99,10320.0,103
36,60,10560.0,110
42,103,10560.0,960
36,84,10800.0,434
42,109,11520.0,793
36,120,11520.0,110
36,98,13440.0,654
42,109,13440.0,793
38,98,14400.0,654
