Pitch,Velocity,Position,Length
77,100,0,480
41,100,0,960
80,100,480,240
77,100,720,240
72,100,960,480
73,100,1440,480
53,100,1440,240
52,100,1680,240
53,100,1920,960
79,100,2400,240
80,100,2640,240
84,100,2880,480
85,100,3360,480
41,100,3360,480
39,100,3840,960
79,100,4320,240
75,100,4560,240
71,100,4800,480
72,100,5280,480
51,100,5280,240
50,100,5520,240
51,100,5760,960
78,100,6240,240
79,100,6480,240
83,100,6720,480
84,100,7200,480
39,100,7200,480
38,100,7680,960
82,100,7920,240
80,100,8160,240
79,100,8400,240
77,100,8640,240
75,100,8880,240
74,100,9120,240
72,100,9360,240
71,100,9600,240
43,100,9600,960
72,100,9840,240
74,100,10080,240
68,100,10320,240
67,100,10560,240
77,100,10800,240
75,100,11040,240
74,100,11280,240
75,100,11520,240
36,100,11520,960
74,100,11760,240
75,100,12000,240
79,100,12240,240
71,100,12480,240
53,100,12480,960
69,100,12720,240
71,100,12960,240
79,100,13200,240
72,100,13440,240
51,100,13440,960
71,100,13680,240
72,100,13920,240
79,100,14160,240
74,100,14400,240
55,100,14400,960
72,100,14640,240
74,100,14880,240
77,100,15120,240
